                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.68917,                0.75915,                 1.6821,                 0.9473,                0.93929,                0.98429,                0.97698,                0.60862,                0.44738,                 1.7593,             0.00033425,             0.00033425,             0.00033425
                     76,                0.71315,                0.76119,                 1.6889,                0.97167,                0.94689,                0.98784,                0.98084,                0.61763,                0.41804,                 1.7503,             0.00032188,             0.00032188,             0.00032188
                     77,                0.68007,                0.75041,                 1.6869,                 0.9582,                0.93362,                0.98502,                0.97466,                0.62814,                0.44283,                 1.7565,              0.0003095,              0.0003095,              0.0003095
                     78,                0.67286,                0.79207,                 1.6808,                0.95356,                0.93261,                 0.9846,                0.97821,                 0.6144,                0.44899,                 1.7569,             0.00029713,             0.00029713,             0.00029713
                     79,                0.67774,                0.77682,                 1.6872,                0.96374,                0.93386,                0.98379,                0.97538,                 0.6069,                0.44376,                 1.7602,             0.00028475,             0.00028475,             0.00028475
                     80,                0.66369,                0.74588,                 1.6846,                0.97435,                0.92084,                0.98476,                0.97675,                0.60346,                0.43998,                 1.7509,             0.00027237,             0.00027237,             0.00027237
                     81,                0.65101,                0.71797,                 1.6751,                 0.9535,                0.94142,                0.98564,                0.97898,                0.59575,                0.42633,                 1.7426,                0.00026,                0.00026,                0.00026
                     82,                0.67499,                0.76868,                 1.6825,                0.94479,                0.95317,                0.98622,                0.97826,                 0.6068,                0.42404,                 1.7515,             0.00024762,             0.00024762,             0.00024762
                     83,                0.64079,                0.72191,                 1.6678,                0.96289,                0.93527,                0.98608,                0.97844,                0.60168,                0.42995,                 1.7498,             0.00023525,             0.00023525,             0.00023525
                     84,                0.66363,                0.77049,                 1.6892,                0.94854,                0.94672,                0.98708,                0.97983,                0.59224,                0.41259,                  1.758,             0.00022288,             0.00022288,             0.00022288
                     85,                0.65083,                0.76741,                 1.6903,                0.97167,                0.93182,                0.98763,                0.98046,                0.58861,                 0.4101,                 1.7674,              0.0002105,              0.0002105,              0.0002105
                     86,                0.63619,                0.69608,                 1.6744,                0.94887,                 0.9567,                0.98679,                0.97992,                0.60444,                0.42132,                 1.7677,             0.00019813,             0.00019813,             0.00019813
                     87,                0.64021,                0.69988,                 1.6738,                0.95483,                0.95231,                0.98849,                0.98226,                0.59578,                 0.4069,                 1.7617,             0.00018575,             0.00018575,             0.00018575
                     88,                0.63452,                0.71665,                 1.6737,                0.97152,                0.93802,                0.98774,                0.98152,                0.58289,                0.39437,                 1.7625,             0.00017338,             0.00017338,             0.00017338
                     89,                0.64771,                0.74848,                 1.6728,                0.95316,                0.94689,                0.98725,                 0.9816,                0.58224,                0.40107,                 1.7571,               0.000161,               0.000161,               0.000161
                     90,                0.63036,                0.72094,                  1.666,                0.94929,                  0.967,                0.98893,                0.98314,                0.57378,                0.38318,                 1.7571,             0.00014862,             0.00014862,             0.00014862
                     91,                0.49881,                0.48329,                 1.6161,                0.94662,                0.95674,                0.98719,                0.98166,                 0.5873,                0.40486,                 1.7689,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.4795,                0.47486,                 1.5801,                0.97081,                 0.9444,                0.98791,                0.98238,                0.57388,                0.39709,                 1.7538,             0.00012387,             0.00012387,             0.00012387
                     93,                0.50173,                0.52001,                 1.6227,                0.95861,                0.94388,                0.98747,                0.98307,                0.55796,                0.39009,                 1.7598,              0.0001115,              0.0001115,              0.0001115
                     94,                0.47136,                0.45219,                 1.5947,                0.96049,                0.94094,                0.98728,                0.98218,                 0.5608,                0.38877,                 1.7499,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.46055,                 0.4581,                 1.6055,                0.96746,                0.94416,                0.98852,                0.98254,                0.55441,                0.37842,                 1.7579,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.45546,                0.44375,                 1.5986,                0.95921,                0.94486,                 0.9875,                0.98181,                0.54686,                0.38708,                 1.7487,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.44782,                0.44168,                 1.6012,                0.97564,                 0.9483,                0.98936,                0.98467,                0.54862,                0.37299,                 1.7528,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.43432,                0.42678,                 1.5984,                0.97966,                0.94018,                0.98931,                0.98493,                0.54597,                0.36854,                 1.7555,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.45183,                0.46024,                 1.6124,                0.97952,                0.94339,                0.98991,                0.98523,                0.55024,                0.36708,                  1.755,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.43357,                0.42513,                 1.5967,                0.97957,                0.93871,                0.98925,                0.98466,                0.53945,                0.37016,                 1.7568,             2.4875e-05,             2.4875e-05,             2.4875e-05
